1,33
2,51
2,59
2,60
2,75
2,79
2,81
2,82
3,51
4,10
4,15
4,33
4,34
4,36
4,50
4,51
4,75
4,79
4,89
4,91
5,25
5,78
6,51
6,60
6,75
6,89
6,90
6,96
7,15
7,36
7,81
7,103
7,134
8,10
8,11
8,15
8,18
8,23
8,29
8,33
8,34
8,35
8,36
8,38
8,51
8,55
8,61
8,70
8,79
8,82
8,85
8,87
8,94
8,98
8,124
8,132
8,137
8,141
9,66
10,4
10,8
10,11
10,15
10,16
10,18
10,20
10,23
10,25
10,29
10,31
10,33
10,34
10,35
10,36
10,42
10,46
10,48
10,51
10,53
10,58
10,60
10,61
10,64
10,66
10,70
10,72
10,75
10,76
10,77
10,79
10,80
10,81
10,82
10,83
10,85
10,87
10,89
10,90
10,91
10,93
10,94
10,102
10,108
10,120
11,8
11,10
11,23
11,29
11,31
11,36
11,51
12,25
13,15
13,23
13,34
13,36
13,51
13,60
13,81
13,82
13,89
14,15
15,4
15,7
15,8
15,10
15,14
15,18
15,19
15,20
15,23
15,25
15,29
15,30
15,31
15,33
15,34
15,35
15,36
15,37
15,40
15,41
15,42
15,43
15,44
15,46
15,47
15,48
15,50
15,51
15,52
15,58
15,60
15,64
15,66
15,70
15,75
15,76
15,77
15,79
15,80
15,81
15,82
15,85
15,87
15,88
15,89
15,90
15,91
15,93
15,94
15,102
15,103
15,105
15,106
15,108
15,109
15,120
15,123
15,125
15,129
15,130
15,134
15,138
15,139
15,144
16,10
16,15
16,23
16,25
16,27
16,31
16,34
16,35
16,36
16,51
16,53
16,56
16,64
16,75
16,79
16,81
16,89
17,13
17,23
17,24
17,31
17,36
17,51
17,66
17,89
18,8
18,15
18,34
18,61
18,85
18,112
19,15
19,36
19,51
19,89
20,10
20,15
20,23
20,31
20,34
20,35
20,36
20,51
20,89
20,91
21,34
21,51
21,80
22,16
22,27
22,51
23,10
23,13
23,15
23,16
23,17
23,20
23,24
23,25
23,29
23,30
23,31
23,33
23,34
23,35
23,36
23,43
23,49
23,51
23,53
23,56
23,60
23,64
23,66
23,68
23,71
23,73
23,75
23,79
23,80
23,81
23,82
23,89
23,91
23,101
23,147
23,153
23,154
23,155
24,20
24,23
24,25
24,31
24,33
24,34
24,35
24,36
24,49
24,51
24,53
24,66
24,89
24,90
24,91
25,5
25,10
25,12
25,15
25,16
25,23
25,24
25,33
25,34
25,35
25,36
25,45
25,51
25,60
25,75
25,76
25,79
25,81
25,83
25,88
25,89
25,90
25,91
25,107
25,148
25,150
26,76
26,77
27,22
27,51
27,89
28,36
28,51
28,60
28,75
28,79
28,80
28,81
28,82
28,89
29,8
29,10
29,11
29,15
29,16
29,23
29,25
29,26
29,31
29,33
29,34
29,35
29,36
29,39
29,51
29,61
29,63
29,66
29,75
29,76
29,77
29,79
29,85
29,87
29,92
29,95
29,97
29,99
29,102
29,104
29,157
29,159
29,160
29,162
29,164
29,166
29,167
30,15
30,23
30,25
30,31
30,34
30,36
30,51
30,60
30,64
30,66
30,79
30,84
30,89
31,10
31,15
31,17
31,20
31,23
31,24
31,30
31,34
31,36
31,43
31,51
31,64
31,65
31,66
31,68
31,71
31,75
31,79
31,80
31,81
31,86
31,89
31,90
31,101
32,33
32,79
32,82
33,1
33,4
33,8
33,10
33,15
33,20
33,23
33,24
33,25
33,29
33,31
33,32
33,34
33,35
33,36
33,43
33,44
33,46
33,48
33,50
33,51
33,60
33,62
33,66
33,72
33,75
33,79
33,81
33,82
33,84
33,85
33,87
33,89
33,90
33,91
33,94
33,102
33,108
33,117
33,128
33,142
33,158
34,4
34,8
34,10
34,11
34,15
34,16
34,20
34,23
34,24
34,25
34,29
34,30
34,31
34,33
34,35
34,36
34,43
34,46
34,48
34,50
34,51
34,53
34,56
34,58
34,60
34,64
34,66
34,70
34,75
34,77
34,79
34,81
34,82
34,84
34,85
34,89
34,90
34,91
34,93
34,102
34,108
35,10
35,15
35,20
35,23
35,25
35,33
35,34
35,36
35,46
35,51
35,58
35,60
35,70
35,75
35,79
